unidad,subunidad,descrip
1,0,AMBULATORIO
1,1,AMBULATORIO
2,0,TRATAMIENTOS ESPECIALES
2,1,Trat.esp. alto costo
2,2,Uso compasivo
2,3,Diabetes
2,4,Alimentos y suplementos especiales
2,5,Capitas / Monto fijo
3,0,PERFUMERIA
3,1,Perf. general
3,2,Pañales institucional
3,3,Dermocosmetica
3,4,Maquillaje
3,5,Fragancias
3,6,Home care-limpieza
4,0,ACCESORIOS E INSUM MED-HOSPITALARIOS
4,1,Insumos medico - hospitalarios
4,2,Accesorios
4,3,Otros
4,4,Farmacopea / galénicos / otros
4,5,Productos Importados
4,6,Diagnóstico
4,7,Insumos medicos de Valor Agregado
4,8,Farmacopea / galénicos de Valor Agregado
4,9,Diagnóstico rápido
5,0,CIRUGIA PLASTICA
5,1,Mallas y suturas johnson
5,2,Energia jhonson
5,3,Protesis agn
5,4,Botox + juvederm agn
5,5,Bombas y guias
5,6,Negocios especiales
5,7,Liposucción
5,8,SILON
5,9,MALLAS GALAFLEX
5,10,ROPA COMPRESIVA
5,11,Dermocosmética
5,12,Estética
5,13,Anestesias dentales
6,0,MEDICAMENTOS HOSPITALARIOS
6,1,Ampollas generales
6,2,Anestesicos
6,3,Antibioticos
6,4,Comprimidos generales
6,5,Estupefacientes y Psicotropicos
6,6,Hemoderivados
6,7,Medios de contraste
6,8,Nutricion enteral
6,9,Nutricion general
6,10,Psicofarmacos
6,11,Soluciones parenterales
6,12,"Suspensiones, gotas y otros"
6,13,Nutricion enteral de Valor Agregado
6,14,Nutricion general de Valor Agregado
7,0,SERVICIOS
7,1,Camoyte
7,2,Logistica
7,3,Terceros - cta.y orden
7,4,Publicidad
7,5,Serv. alquiler aparatos
7,6,Venta informacion
7,7,Otros
7,8,Ingresos varios
7,9,Logistica dispositivos medicos
7,10,Alquiler
7,11,Almacenamiento
7,12,Transporte
7,13,Prestamos al personal
7,14,Prestamos a terceros
7,15,Anticipos clientes
7,16,Intereses prestamos a terceros
7,17,Intereses prestamos al personal
7,18,Recupero gastos
8,0,EQUIPAMIENTO MEDICO
8,1,Electromedicina
8,2,Mobiliario
8,3,Instrumental
8,4,Sistema de imagenes
8,5,Seca
8,6,Baxter
9,0,SERVICIOS HOSPITALARIOS
9,1,GERENCIAMIENTO DE CONVENIOS Especiales
9,2,GERENCIAMIENTO DE CONVENIOS Hospit.
9,3,GERENCIAMIENTO CONVENIOS Hospit. fisico
10,0,NEUROCIRUGIA
10,1,NEUROCIRUGIA
10,2,Codman
11,0,ORTOPEDIA
11,1,Ortopedia - sin uso
11,2,Cmf( craneo maxilo facial)
11,3,Trauma
11,4,"Joints( cadera, rodilla, hombro)"
11,5,Mitek( medicina deportiva)
11,6,Power tools(motores)
11,7,Spine (columna)
12,0,DISPOSITIVOS MEDICOS
12,1,Dispositivos varios
12,2,Asp( estrilizacion)
12,3,Bombas y guias
12,4,Plasmablade
12,5,Presión Negativa
13,0,CIRUGIA GENERAL
13,1,CIRUGIA GENERAL
13,2,MALLAS
13,3,SUTURAS MECÁNICAS
13,4,Energia
13,5,HEMOSTÁTICOS
13,6,ACCESOS
13,7,SUTURAS ATRAUMATICAS
14,0,SERVICIOS DISPOSITIVOS MEDICOS
14,1,SERVICIOS DISPOSITIVOS MEDICOS
14,2,Logistica dispositivos medicos
14,3,Servicios ortopedia j&j
14,4,Servicio alquiler equipamiento
14,5,SERVICIOS ALQUILER CIRUGIA PLASTICA
15,0,CARDINAL HEALTH
15,1,CARDINAL HEALTH
15,2,Compression
15,3,Cardio-thoracic
15,4,Enteral feeding
15,5,Electrodes
15,6,Needles & syringes std
15,7,Perinatal
15,8,Suction / gi
15,9,Wound care
15,99,Servicios y reparaciones
16,0,STRYKER
16,1,Spy abierto
16,2,Spy laparo
16,3,Servicio alquiler spy abierto
16,4,Servicio alquiler spy laparo
17,0,VENTAS WEB
17,1,Farmaonline
17,2,Pedidosfarma
18,0,INSUMOS
18,1,INSUMOS
19,0,Salud Animal
19,1,Bovino
19,2,Porcino
19,3,Aves
19,4,Mascotas
19,5,Equinos
19,50,Material promocional
20,0,Veinfar
20,1,Veinfar
