periodo;codigo_serie;perfil;cliente_id;Grupo;periodo_ponderacion;ponderador_mes;yhat_cliente;li_cliente;ls_cliente;submodelo;version_param;clasificacion_serie;nivel_agregacion;precio_base;precio_ajustado;monto_yhat;monto_li;monto_ls;months_diff
2026-01;ADECUACION DE PRECIOS A LA 1° REDET. OC N°: 2025/000115;OES;7074;HOSPITAL POSADAS;2025-01;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;-1
2026-02;ADECUACION DE PRECIOS A LA 1° REDET. OC N°: 2025/000115;OES;7074;HOSPITAL POSADAS;2025-02;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;0
2026-03;ADECUACION DE PRECIOS A LA 1° REDET. OC N°: 2025/000115;OES;7074;HOSPITAL POSADAS;2025-03;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;1
2026-04;ADECUACION DE PRECIOS A LA 1° REDET. OC N°: 2025/000115;OES;7074;HOSPITAL POSADAS;2025-04;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;2
2026-01;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-01;1,0;1797;0;3594;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;-1
2026-02;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-02;1,0;1814;0;3628;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;0
2026-03;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-03;1,0;1828;0;3656;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;1
2026-04;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-04;1,0;1840;0;3680;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;2
2026-06;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-06;1,0;1860;0;3720;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;4
2026-07;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-07;1,0;1867;0;3734;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;5
2026-08;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-08;1,0;1873;0;3746;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;6
2026-09;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-09;1,0;1879;0;3758;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;7
2026-11;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-11;1,0;1887;0;3774;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;9
2026-12;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-12;1,0;1890;0;3780;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;10
2026-01;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;OES;7190;HOSPITAL POSADAS;2025-01;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;-1
2026-02;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;OES;7190;HOSPITAL POSADAS;2025-02;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;0
2026-03;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;OES;7190;HOSPITAL POSADAS;2025-03;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;1
2026-04;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;OES;7190;HOSPITAL POSADAS;2025-04;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;2
2026-05;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;OES;7190;HOSPITAL POSADAS;2025-05;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;3
2026-06;APOSITO ALGODON/GASA 10X20 DE 18GRS DOBLE SOB EST.;OES;7190;HOSPITAL POSADAS;2025-06;1,0;0;0;0;SM1_IPU_OES;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;4
2026-01;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;12627;SIN GRUPO;2025-01;0,2;1249;0;2497;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;-1
2026-01;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;13175;SIN GRUPO;2025-01;0,4;2497;0;4994;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;-1
2026-01;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;2761;SN DROGUERIA;2025-01;0,4;2497;0;4994;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;-1
2026-02;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;2761;SN DROGUERIA;2025-02;0,030303;189;0;378;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;0
2026-02;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;7585;EURO PHARMA;2025-02;0,969697;6054;0;12108;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;0
2026-04;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;7499;SIN GRUPO;2025-04;1,0;6243;0;12486;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;2
2026-06;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;13010;EQUS;2025-06;0,333333;2081;0;4162;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;4
2026-06;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;13175;SIN GRUPO;2025-06;0,666667;4162;0;8324;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;4
2026-07;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;13010;EQUS;2025-07;1,0;6243;0;12486;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;5
2026-08;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;7499;SIN GRUPO;2025-08;1,0;6243;0;12486;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;6
2026-09;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;7585;EURO PHARMA;2025-09;1,0;6243;0;12486;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;7
2026-11;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;7499;SIN GRUPO;2025-11;1,0;6243;0;12486;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;9
2026-12;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;7157;SIN GRUPO;2025-12;0,8;4994;0;9989;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;10
2026-12;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;DRO;8315;SIN GRUPO;2025-12;0,2;1249;0;2497;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);INTERMITENTE;FAMILIA;;;;;;10
2026-01;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;IPR;12813;SIN GRUPO;2025-01;0,0625;768;0;1536;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;-1
2026-01;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-01;0,9375;11516;0;23032;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;-1
2026-02;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;IPR;10057;SIN GRUPO;2025-02;0,117647;1468;0;2936;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;0
2026-02;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;IPR;10137;SIN GRUPO;2025-02;0,058824;734;0;1468;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;0
2026-02;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;IPR;10919;SIN GRUPO;2025-02;0,705882;8809;0;17619;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;0
2026-02;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-02;0,117647;1468;0;2936;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;0
2026-03;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;IPR;12813;SIN GRUPO;2025-03;0,510638;6458;0;12915;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;1
2026-03;APOSITO ALGODON/GASA 10X20 SIMPLE SOB EST.;IPR;2355;SWISS MEDICAL GROUP;2025-03;0,489362;6188;0;12377;SM4_DRO_DPM;v4.4.0 (WMA+MeanReversion+BandCap);NORMAL;FAMILIA;;;;;;1
