periodo,codigo_serie,perfil,imp_hist
2025-01,ABON FOB,IPR,1245542.5
2025-01,ACCESORIO INCONTINENCIA 30 MM,DRO,21616.8
2025-01,ACCESORIO INCONTINENCIA 30 MM,FAR,28960.68
2025-01,ACCESORIO INCONTINENCIA 30 MM,IPR,9230.75
2025-01,ACCESORIO INCONTINENCIA 30 MM,IPU,-26106.61
2025-01,ACEITE DE ALMENDRAS   50ML,FAR,235124.52
2025-01,ACEITE DE ALMENDRAS   50ML,PER,2799.1
2025-01,ACEITE DE ALMENDRAS   50ML (DISC),FAR,153463.225
2025-01,ACEITE DE ALMENDRAS 1000ML  (DISC),FAR,56916.0
2025-01,ACEITE DE ALMENDRAS 50G,FAR,23378.25
2025-01,ACEITE DE SILICONA X 170 G AER,DRO,175425.0
2025-01,ACENOCUMAROL 4 MG COMP,DRO,101100.0
2025-01,ACETILCISTEINA 600 MG COMP EFERV,DRO,222280.0
2025-01,ACETILCISTEINA 600 MG COMP EFERV,IPR,808071.4
2025-01,ACETILCISTEINA 600 MG COMP EFERV,IPU,380995.6
2025-01,ACETILCISTEINA 600 MG COMP EFERV,OES,3072060.0
2025-01,ACETILCISTEINA 600 MG SOBRES,DRO,20460.4
2025-01,ACETILCISTEINA 600 MG SOBRES,IPR,776100.3
2025-01,ACICLOVIR 5 G X 5 G CREMA,IPR,26142.0
2025-01,ACICLOVIR 5 G X 5 G CREMA,IPU,27057.23
2025-01,ACICLOVIR 500 MG AMP,IPU,60974115.0
2025-01,ACICLOVIR 8 G/ML X 120 ML SUSP,OES,11318.96
2025-01,ACIDO BORICO X 25GRS,DRO,37776.0
2025-01,ACIDO BORICO X 25GRS,FAR,636192.53
2025-01,ACIDO BORICO X 25GRS,IPR,36382.130000000005
2025-01,ACIDO FOLICO 1 MG COMP,DRO,181990.0
2025-01,ACIDO FOLICO 1 MG COMP,IPU,108780.0
2025-01,ACIDO FOLICO 5 MG COMP,DRO,461440.0
2025-01,ACIDO FOLICO 5 MG COMP,IPR,267450.0
2025-01,ACIDO FOLICO 5 MG COMP,IPU,3449020.0
2025-01,ACIDO TIOCTICO 600 MG COMP,DRO,533790.0
2025-01,ACIDO TIOCTICO 600 MG COMP,IPR,43719.6
2025-01,ACIDO TIOCTICO 600 MG COMP,IPU,8092260.0
2025-01,ACIDO TIOCTICO 600 MG COMP,OES,518460.0
2025-01,ACIDO TRANEXAMICO 1 G X 10 ML AMP,DRO,196385.1
2025-01,ACIDO TRANEXAMICO 1 G X 10 ML AMP,IPR,1621995.94
2025-01,ACIDO TRANEXAMICO 1 G X 10 ML AMP,IPU,91500.0
2025-01,ACIDO TRANEXAMICO 500 MG/5 ML AMP,DRO,1228689.8
2025-01,ACIDO TRANEXAMICO 500 MG/5 ML AMP,IPR,1990665.55
2025-01,ACIDO URSODESOXICOLICO 300 MG COMP,IPR,19359.5
