codigo_serie;nivel_agregacion;perfil;Neg;Subneg;Familia;submodelo;clasificacion_serie;motivo;pos_12;zero_12;pos_rate_12;racha_zeros_final;periodo_eval_ini;periodo_eval_fin;periodo_panel_max
(100)ASA 1 UL 8/1 PEEL;FAMILIA;IPU;4;6;(100)ASA 1 UL 8/1 PEEL;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
*LNA*MICR.AUTOM. TOTL AUT V.FIJO AHN 50U;FAMILIA;IPU;4;6;*LNA*MICR.AUTOM. TOTL AUT V.FIJO AHN 50U;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
1/0917 CIRCUITO ARM RESPIRADOR 2T WESTMED (5703);FAMILIA;DRO;4;1;1/0917 CIRCUITO ARM RESPIRADOR 2T WESTMED (5703);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;22;2025-01;2025-12;2025-12
ABON FOB;FAMILIA;IPR;4;9;ABON FOB;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACCESORIO INCONTINENCIA 30 MM;FAMILIA;DPM;4;5;ACCESORIO INCONTINENCIA 30 MM;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;15;2025-01;2025-12;2025-12
ACEITE DE ALMENDRAS 50ML (DISC);FAMILIA;IPR;4;4;ACEITE DE ALMENDRAS   50ML (DISC);SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;7;2025-01;2025-12;2025-12
ACEITE DE SILICONA X 170 G AER;FAMILIA;IPU;6;12;ACEITE DE SILICONA X 170 G AER;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
ACEITE DE SILICONA X 170 G AER;FAMILIA;OES;6;12;ACEITE DE SILICONA X 170 G AER;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACETILCISTEINA 600 MG COMP EFERV;FAMILIA;OES;6;4;ACETILCISTEINA 600 MG COMP EFERV;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACETILCISTEINA 600 MG SOBRES;FAMILIA;DRO;6;4;ACETILCISTEINA 600 MG SOBRES;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACETILCISTEINA 600 MG SOBRES;FAMILIA;OES;6;4;ACETILCISTEINA 600 MG SOBRES;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;17;2025-01;2025-12;2025-12
ACICLOVIR 5 G X 10 G CREMA;FAMILIA;IPR;6;3;ACICLOVIR 5 G X 10 G CREMA;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACICLOVIR 5 G X 10 G CREMA;FAMILIA;IPU;6;3;ACICLOVIR 5 G X 10 G CREMA;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
ACICLOVIR 5 G X 5 G CREMA;FAMILIA;OES;6;12;ACICLOVIR 5 G X 5 G CREMA;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACICLOVIR 8 G/ML X 120 ML SUSP;FAMILIA;DRO;6;12;ACICLOVIR 8 G/ML X 120 ML SUSP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACICLOVIR 8 G/ML X 120 ML SUSP;FAMILIA;OES;6;12;ACICLOVIR 8 G/ML X 120 ML SUSP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACICLOVIR 800 COMP;FAMILIA;IPR;6;4;ACICLOVIR 800 COMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;19;2025-01;2025-12;2025-12
ACICLOVIR 800 COMP;FAMILIA;IPU;6;4;ACICLOVIR 800 COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;3;2025-01;2025-12;2025-12
ACICLOVIR 800 COMP;FAMILIA;OES;6;4;ACICLOVIR 800 COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;9;2025-01;2025-12;2025-12
ACIDO AMINOCAPROICO 200 MG/10 ML AMP;FAMILIA;DRO;6;1;ACIDO AMINOCAPROICO 200 MG/10 ML AMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;3;2025-01;2025-12;2025-12
ACIDO AMINOCAPROICO 200 MG/10 ML AMP;FAMILIA;IPR;6;1;ACIDO AMINOCAPROICO 200 MG/10 ML AMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;2;2025-01;2025-12;2025-12
ACIDO AMINOCAPROICO 200 MG/10 ML AMP;FAMILIA;IPU;6;1;ACIDO AMINOCAPROICO 200 MG/10 ML AMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;5;2025-01;2025-12;2025-12
ACIDO AMINOCAPROICO 200 MG/10 ML AMP;FAMILIA;OES;6;1;ACIDO AMINOCAPROICO 200 MG/10 ML AMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;14;2025-01;2025-12;2025-12
ACIDO BORICO X 25GRS;FAMILIA;DRO;4;4;ACIDO BORICO X 25GRS;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;11;2025-01;2025-12;2025-12
ACIDO BORICO X 25GRS;FAMILIA;IPR;4;4;ACIDO BORICO X 25GRS;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;10;2025-01;2025-12;2025-12
ACIDO FOLICO 1 MG COMP;FAMILIA;IPR;6;4;ACIDO FOLICO 1 MG COMP;SM4_DRO_DPM;NO ELEGIBLE;pos_12 < 2;1;11;0,083333;8;2025-01;2025-12;2025-12
ACIDO FOLICO 1 MG COMP;FAMILIA;IPU;6;4;ACIDO FOLICO 1 MG COMP;SM1_IPU_OES;NO ELEGIBLE;pos_12 < 2;0;12;0,000000;12;2025-01;2025-12;2025-12
